State,Percentage_pop_with_bachelors,Year,Av_temperature,Median_income,Elec_price,Key,perc_of_tot,Gdp_per_working_pop,Energy_per_working_pop,num_jobs_per_working_pop,charging_ports_per_w_pop,label
Oregon,28.1,2008,47.6,65252.0,21.22,Oregon2008,0.0005467509665531931,0.08911996109369934,0.5658710688425376,1.2366902626175293,1.2366902626175293,0
Pennsylvania,26.3,2008,49.3,64842.0,27.44,Pennsylvania2008,0.0,0.10006033998672724,0.6708438409311348,1.2385536100192285,1.2385536100192285,0
Rhode Island,30.0,2008,50.2,67161.0,47.0,Rhode Island2008,0.0,0.09156982374588418,0.3763742010459035,1.1793627735812513,1.1793627735812513,0
South Carolina,23.7,2008,63.9,53177.0,23.02,South Carolina2008,0.0,0.0780819476868836,0.7802682357425318,1.1779613130687503,1.1779613130687503,0
South Dakota,25.1,2008,46.5,65091.0,20.93,South Dakota2008,0.0,0.10047488333790831,0.9704391984628054,1.539958825144112,1.539958825144112,0
Tennessee,22.9,2008,59.6,50083.0,24.03,Tennessee2008,0.0,0.08433969149112622,0.7576453806601426,1.2197949908774257,1.2197949908774257,0
Texas,25.3,2008,65.1,58645.0,32.42,Texas2008,0.0,0.1041957226237031,0.9432151500180038,1.202986208224822,1.202986208224822,0
Utah,29.1,2008,49.9,78888.0,19.12,Utah2008,0.0,0.08745999402895954,0.5732467532467532,1.2600014927601135,1.2600014927601135,0
Vermont,32.1,2008,42.3,63964.0,36.14,Vermont2008,0.0,0.08609039735099337,0.48471523178807946,1.4048675496688743,1.4048675496688743,0
Virginia,33.7,2008,56.5,78192.0,23.5,Virginia2008,0.0,0.10797750440305279,0.6789296578961413,1.2996784437209798,1.2996784437209798,0
Washington,30.7,2008,46.7,71438.0,19.28,Washington2008,0.0,0.10985357773167785,0.6322438616589776,1.2245443849273927,1.2245443849273927,0
West Virginia,17.1,2008,52.9,47928.0,16.52,West Virginia2008,0.0,0.07293485342019544,0.903013029315961,1.0683643555141926,1.0683643555141926,0
Wisconsin,25.7,2008,44.3,64587.0,26.47,Wisconsin2008,0.0,0.08964641144849629,0.6883328490483801,1.2977342728461427,1.2977342728461427,0
Wyoming,23.6,2008,43.3,67283.0,16.73,Wyoming2008,0.0,0.1680506279434851,2.112947409733124,1.5658124018838304,1.5658124018838304,0
Alabama,22.0,2009,63.1,50609.0,26.23,Alabama2009,0.0,0.0769473755289457,0.8103430269199604,1.1161911407220673,1.1161911407220673,0
Alaska,26.6,2009,-0.2,77982.0,44.29,Alaska2009,0.0,0.14505749128919862,1.8570180023228804,1.2846893147502905,1.2846893147502905,0
Arizona,25.6,2009,61.1,57899.0,28.01,Arizona2009,0.0,0.07891132957602151,0.44193159984629177,1.0338455872934547,1.0338455872934547,0
Arkansas,18.9,2009,59.8,46252.0,22.39,Arkansas2009,0.0,0.07281070788530467,0.7777904719235365,1.1521385902031063,1.1521385902031063,0
California,29.9,2009,59.4,71058.0,38.89,California2009,0.00038051679889041304,0.10234096040456324,0.4209842820247654,1.0740866194170868,1.0740866194170868,0
Colorado,35.9,2009,45.6,70800.0,24.44,Colorado2009,0.0,0.09923672776109971,0.5788809448570075,1.2499707694738504,1.2499707694738504,0
Connecticut,35.6,2009,49.0,82092.0,52.96,Connecticut2009,0.0,0.1383201114668564,0.4544497806237401,1.302123206450848,1.302123206450848,0
Delaware,28.7,2009,55.8,65969.0,35.77,Delaware2009,0.0,0.13846266156055528,0.6210172331258975,1.2580995691718526,1.2580995691718526,0
District of Columbia,48.5,2009,57.4,67269.0,38.79,District of Columbia2009,0.0,0.31586792452830187,0.5864339622641509,2.502867924528302,2.502867924528302,0
Florida,25.3,2009,70.7,57763.0,33.68,Florida2009,0.0,0.08567645653972063,0.4794296165989026,1.1465781655929261,1.1465781655929261,0
Georgia,27.5,2009,63.6,54862.0,25.81,Georgia2009,0.0,0.08517880464168365,0.6059786632283825,1.0911745622426485,1.0911745622426485,0
Hawaii,29.6,2009,77.1,70444.0,62.36,Hawaii2009,0.0,0.10909193848233902,0.4663309109345952,1.402563799222579,1.402563799222579,0
Idaho,23.9,2009,43.0,59215.0,19.07,Idaho2009,0.0,0.07498488210818308,0.696990291262136,1.2211927877947295,1.2211927877947295,0
Illinois,30.6,2009,50.4,66926.0,26.88,Illinois2009,0.0,0.1022616720955483,0.6072850870981448,1.1493990464051362,1.1493990464051362,0
Indiana,22.5,2009,50.5,56084.0,22.41,Indiana2009,0.0,0.08563751666720869,0.8822800741487528,1.1457341702169177,1.1457341702169177,0
Iowa,25.1,2009,45.6,64206.0,21.59,Iowa2009,0.0,0.09791474143480439,1.0360639439238968,1.4012888920678064,1.4012888920678064,0
Kansas,29.5,2009,53.7,56606.0,23.43,Kansas2009,0.0,0.0936837817638266,0.8133266068759343,1.3551449925261585,1.3551449925261585,0
Kentucky,21.0,2009,55.1,54007.0,19.19,Kentucky2009,0.0,0.07588656515034695,0.9302823824209715,1.1204939282960678,1.1204939282960678,0
Louisiana,21.4,2009,66.8,57512.0,20.88,Louisiana2009,0.0,0.09494342507645259,1.8698452414048745,1.172251413214716,1.172251413214716,0
Maine,26.9,2009,40.7,60131.0,38.47,Maine2009,0.0,0.08267108667529108,0.6680158473479948,1.2944712160413971,1.2944712160413971,0
Maryland,35.7,2009,54.8,81251.0,38.37,Maryland2009,0.0,0.10679188089117396,0.519654027420737,1.1994733647529277,1.1994733647529277,0
Massachusetts,38.2,2009,47.9,75158.0,45.27,Massachusetts2009,0.0,0.11987867996930161,0.42230176515732926,1.2635447429009976,1.2635447429009976,0
Michigan,24.6,2009,43.2,58222.0,27.63,Michigan2009,0.0,0.07678754685547688,0.5602501041232819,1.0509164931278634,1.0509164931278634,0
Minnesota,31.5,2009,38.9,71002.0,23.91,Minnesota2009,0.0,0.1009626333834123,0.6880761970800108,1.3191706152008937,1.3191706152008937,0
Mississippi,19.6,2009,63.5,44404.0,26.18,Mississippi2009,0.0,0.06726674483365089,0.8146731642972299,1.0935732082661587,1.0935732082661587,0
Missouri,25.2,2009,53.2,61735.0,21.54,Missouri2009,0.0,0.08886469515189785,0.6472949554479759,1.2357580860169788,1.2357580860169788,0
Montana,27.4,2009,41.6,51188.0,22.31,Montana2009,0.0037826898707671026,0.08000840150342693,0.9446119831969931,1.369460535043113,1.369460535043113,0
Nebraska,27.4,2009,48.0,62780.0,21.12,Nebraska2009,0.0,0.10198450340455505,0.9143801361822024,1.4359908429208734,1.4359908429208734,0
Nevada,21.8,2009,51.0,65108.0,30.52,Nevada2009,0.0,0.09411042613855283,0.5019426677968714,1.1658418740849195,1.1658418740849195,0
