State,Percentage_pop_with_bachelors,Year,Adults 19-25,Adults 26-34,Adults 35-54,EnergyC_addunit,num_jobs_tot,Av_temperature,Median_income,GDP,Elec_price,Tot_vehicle,Number of registrations,Label,Label_py,Label_R,Key
Indiana,22.5,2009,570400.0,736500.0,1768000.0,2712923.0,3523018.0,50.5,56084.0,263326.8,22.41,3135608.0,0.0,Low,0,1,Indiana2009
Iowa,25.1,2009,269600.0,329400.0,799100.0,1448521.0,1959142.0,45.6,64206.0,136894.6,21.59,1736330.0,0.0,Low,0,1,Iowa2009
Kansas,29.5,2009,276600.0,315300.0,746100.0,1088231.0,1813184.0,53.7,56606.0,125348.9,23.43,874869.0,0.0,Low,0,1,Kansas2009
Kentucky,21.0,2009,374800.0,499000.0,1201400.0,1930522.0,2325249.0,55.1,54007.0,157479.8,19.19,1952420.0,0.0,Low,0,1,Kentucky2009
Louisiana,21.4,2009,440200.0,528800.0,1189200.0,4035500.0,2529953.0,66.8,57512.0,204906.9,20.88,1940586.0,0.0,Low,0,1,Louisiana2009
Maine,26.9,2009,101300.0,130100.0,387000.0,413101.0,800501.0,40.7,60131.0,51123.8,38.47,538469.0,0.0,Low,0,1,Maine2009
Maryland,35.7,2009,501200.0,639000.0,1660600.0,1455447.0,3359485.0,54.8,81251.0,299102.7,38.37,2597592.0,0.0,Low,0,1,Maryland2009
Massachusetts,38.2,2009,565400.0,741200.0,1950900.0,1375648.0,4115997.0,47.9,75158.0,390504.8,45.27,3128371.0,0.0,Low,0,1,Massachusetts2009
Michigan,24.6,2009,911100.0,1043700.0,2847200.0,2690321.0,5046501.0,43.2,58222.0,368733.8,27.63,4371772.0,0.0,Low,0,1,Michigan2009
Minnesota,31.5,2009,473800.0,622500.0,1499600.0,1786177.0,3424435.0,38.9,71002.0,262088.9,23.91,2506177.0,0.0,Low,0,1,Minnesota2009
Mississippi,19.6,2009,276000.0,331100.0,757500.0,1111703.0,1492290.0,63.5,44404.0,91792.2,26.18,1155792.0,0.0,Low,0,1,Mississippi2009
Missouri,25.2,2009,538100.0,673700.0,1638800.0,1845179.0,3522652.0,53.2,61735.0,253317.7,21.54,2559639.0,0.0,Low,0,1,Missouri2009
Montana,27.4,2009,91100.0,103200.0,258000.0,427248.0,619407.0,41.6,51188.0,36187.8,22.31,370107.0,14.0,Low,0,1,Montana2009
Nebraska,27.4,2009,176300.0,206100.0,469400.0,778869.0,1223177.0,48.0,62780.0,86870.4,21.12,784194.0,0.0,Low,0,1,Nebraska2009
Nevada,21.8,2009,226400.0,340700.0,730600.0,651371.0,1512913.0,51.0,65108.0,122127.1,30.52,706912.0,0.0,Low,0,1,Nevada2009
New Hampshire,32.0,2009,113100.0,127100.0,406000.0,297987.0,820809.0,43.0,81181.0,62522.9,44.23,639635.0,0.0,Low,0,1,New Hampshire2009
New Jersey,34.5,2009,703500.0,964300.0,2597500.0,2372899.0,4992063.0,53.0,81999.0,482458.9,42.63,3705322.0,0.0,Low,0,1,New Jersey2009
New Mexico,25.3,2009,189100.0,230200.0,512000.0,644532.0,1072062.0,54.1,55118.0,82461.5,23.96,698100.0,0.0,Low,0,1,New Mexico2009
New York,32.4,2009,1743600.0,2305400.0,5595600.0,3698714.0,10984350.0,44.9,63567.0,1160081.3,45.26,8725551.0,0.0,Low,0,1,New York2009
North Carolina,26.5,2009,814400.0,1050100.0,2609800.0,2557020.0,5215744.0,59.2,53047.0,411155.8,24.84,3451087.0,0.0,Low,0,1,North Carolina2009
North Dakota,25.8,2009,74500.0,69700.0,163900.0,435055.0,492417.0,39.0,63388.0,32226.0,19.48,347356.0,0.0,Low,0,1,North Dakota2009
Ohio,24.1,2009,971300.0,1290800.0,3240700.0,3666516.0,6454964.0,49.9,58077.0,482281.1,26.52,6318803.0,0.0,Low,0,1,Ohio2009
Oklahoma,22.7,2009,350400.0,419900.0,940200.0,1492392.0,2136548.0,59.5,58075.0,146633.0,20.39,1670353.0,0.0,Low,0,1,Oklahoma2009
Oregon,29.2,2009,341500.0,465100.0,1038700.0,1012819.0,2189148.0,47.3,62151.0,159607.3,21.9,1439985.0,10.0,Low,0,1,Oregon2009
Pennsylvania,26.4,2009,1039400.0,1340600.0,3543000.0,3625634.0,7101557.0,48.1,60979.0,582144.8,28.25,5818056.0,0.0,Low,0,1,Pennsylvania2009
Rhode Island,30.5,2009,87300.0,118100.0,301400.0,194853.0,588284.0,50.1,65362.0,47702.2,41.68,481905.0,0.0,Low,0,1,Rhode Island2009
South Carolina,24.3,2009,389000.0,508300.0,1226400.0,1573712.0,2367886.0,63.0,52028.0,161813.5,24.67,1974494.0,0.0,Low,0,1,South Carolina2009
South Dakota,25.1,2009,76500.0,88300.0,204700.0,363091.0,556453.0,43.9,58009.0,36432.9,21.65,401661.0,0.0,Low,0,1,South Dakota2009
