State,Percentage_pop_with_bachelors,Year,Adults 19-25,Adults 26-34,Adults 35-54,EnergyC_addunit,num_jobs_tot,Av_temperature,Median_income,GDP,Elec_price,Tot_vehicle,Number of registrations,Label,Label_py,Label_R,Key,norm_Av_temperature,norm_Percentage_pop_with_bachelors,norm_Adults 19-25,norm_Adults 26-34,norm_Adults 35-54,norm_EnergyC_addunit,norm_num_jobs_tot,norm_Median_income,norm_GDP,norm_Elec_price,norm_Tot_vehicle
North Dakota,30.7,2017,75100.0,98500.0,171900.0,633995.0,573064.0,44.1,66500.0,55394.7,25.78,276545.0,0.0,Low,0,1,North Dakota2017,0.6072572038420492,0.29247311827956984,0.009193590753874442,0.0074235224518616055,0.004305705059203444,0.03602770095589902,0.007885217439154164,0.45318346171985535,0.009744240617247723,0.1109779482262704,0.005877781612009683
Ohio,28.0,2017,987700.0,1331700.0,2860600.0,3616508.0,6987859.0,54.2,67076.0,645636.8,28.96,4605459.0,143.0,Low,0,1,Ohio2017,0.7150480256136605,0.2344086021505376,0.24890990281061204,0.2427625426995668,0.26741364125648304,0.24742759523160468,0.2769315374976576,0.46223864172299955,0.20540278055307415,0.1490891658676894,0.22436913972605615
Oklahoma,25.5,2017,342600.0,463900.0,934700.0,1647508.0,2291797.0,62.5,57343.0,190553.0,24.26,1337624.0,15.0,Low,0,1,Oklahoma2017,0.8036286019210245,0.18064516129032254,0.0794588915156291,0.07715501612564646,0.07895097367648497,0.10786528927388901,0.07997150995717099,0.30922810878792645,0.05454767913545646,0.09276126558005755,0.05943315179868799
Oregon,33.7,2017,343700.0,524300.0,1051600.0,1041344.0,2516089.0,48.2,69077.0,222601.6,25.82,1542461.0,429.0,Low,0,1,Oregon2017,0.6510138740661686,0.35698924731182796,0.0797478329393223,0.08868151371157039,0.09039044916332323,0.0649005124183518,0.08937865971309644,0.49369595975475555,0.06517142536261872,0.11145733461169705,0.0697717989332827
Pennsylvania,31.4,2017,1028600.0,1466600.0,3152500.0,3766880.0,7662469.0,51.5,67736.0,746441.0,29.79,4463267.0,655.0,Low,0,1,Pennsylvania2017,0.6862326574172891,0.30752688172043,0.25965327029156815,0.2685063262151486,0.29597808004697135,0.2580859309713069,0.3052257133792979,0.47261436880993557,0.23881822582781656,0.1590364333652924,0.21719234591750453
Rhode Island,33.5,2017,94600.0,126200.0,263400.0,182325.0,638895.0,52.4,72285.0,58085.0,48.13,420313.0,23.0,Low,0,1,Rhode Island2017,0.695837780149413,0.35268817204301073,0.014315734173890203,0.01270968111295586,0.013259614443683334,0.004013426333287828,0.010646270332624858,0.5441282817167112,0.010636044455010828,0.3788350910834133,0.013134120170211632
South Carolina,28.0,2017,418700.0,554800.0,1246100.0,1647778.0,2759106.0,65.6,60278.0,223266.7,29.21,1808401.0,150.0,Low,0,1,South Carolina2017,0.8367129135538953,0.2344086021505376,0.09944838455476754,0.09450201332035649,0.10942362266366572,0.10788442681711327,0.09957116462738558,0.3553686527275586,0.06539189844461561,0.15208533077660596,0.08319447071120425
South Dakota,28.1,2017,72000.0,104100.0,196700.0,394141.0,601277.0,48.1,62905.0,50232.5,29.46,353180.0,0.0,Low,0,1,South Dakota2017,0.6499466382070438,0.23655913978494625,0.008379301287102705,0.00849220434724528,0.006732557001663568,0.019026899872515612,0.00906851383877575,0.3966671906932872,0.00803303005660367,0.15508149568552254,0.009745746008869946
Tennessee,27.3,2017,560900.0,791900.0,1706900.0,2145679.0,4033035.0,61.1,61128.0,350838.7,27.75,2325004.0,0.0,Low,0,1,Tennessee2017,0.7886872998932765,0.2193548387096774,0.1368006304176517,0.13974924142669032,0.15451609746550543,0.14317554499824714,0.15300169661879126,0.36873133155164284,0.10768056483539534,0.13458772770853308,0.10926874501551956
Texas,29.6,2017,2612700.0,3587100.0,7243100.0,13173303.0,17104535.0,67.5,66417.0,1673234.3,24.88,8176879.0,2987.0,High,2,3,Texas2017,0.8569903948772678,0.26881720430107525,0.6757551878119255,0.6731741760653422,0.6962716508464625,0.9248112152240716,0.7012404123758383,0.4518786354346801,0.5460396590334561,0.10019175455417066,0.40462783883527104
